Iteration	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	theta	V	Yr
115	555.7721	551.853	3.919119	12.21146	0.01128356	-0.05232248	0.01453745	0.9728612	0.8614747	1	0.01811266	61.42981	-0.1718965	0.01452674	4.234121
116	556.3016	552.0607	4.240883	8.193633	0.0138069	-0.02343527	0.01224863	0.9878858	0.8867246	1	0.01839106	50.20297	-0.3471682	0.01224684	26.37617
117	554.286	549.9544	4.331616	12.31232	0.01123633	-0.05422415	0.0126809	0.9724484	0.8608956	1	0.01688116	61.68804	0.1803945	0.01267127	-8.3352
118	556.1006	552.3408	3.75989	10.62124	0.01211254	-0.03407931	0.01429587	0.9791786	0.8709162	1	0.01860964	57.22556	0.2651013	0.01428967	-14.10381
119	555.6084	551.616	3.992312	7.7834	0.014168	-0.03404848	0.01341545	0.9892064	0.8896083	1	0.01949718	48.92345	0.2651013	0.01341389	-27.4503
120	555.7121	552.1632	3.548948	12.539	0.01113221	-0.04334115	0.01450573	0.9715159	0.8596018	1	0.01797113	62.26501	-0.38375	0.01449396	11.5671
121	553.4737	549.4556	4.018127	15.44795	0.01000022	-0.05463098	0.01390316	0.9590978	0.843844	1	0.01667541	69.31319	-0.2295144	0.0138799	4.046129
122	549.7737	546.2245	3.549153	21.6651	0.008367914	-0.0001061803	0.01539514	0.9310796	0.8139583	1	0.0160515	82.83392	-0.2801139	0.01532202	3.782658
123	557.0061	552.6983	4.307849	9.188141	0.01303303	-0.03651392	0.01328077	0.9844859	0.8800099	1	0.01860584	53.18387	-0.1220383	0.01327757	5.390669
124	556.2263	551.924	4.302277	7.058399	0.01488079	-0.0385916	0.01217781	0.9914056	0.8948916	1	0.01903761	46.58001	-0.3264776	0.01217691	33.1704
125	555.6767	551.2373	4.439449	7.244822	0.01468741	-0.04863845	0.01158128	0.9908576	0.8935088	1	0.01844446	47.1933	-0.3314165	0.01158031	30.59889
126	556.2545	551.6227	4.631786	6.987126	0.01495674	-0.04435905	0.01184309	0.9916117	0.895425	1	0.01882201	46.34347	-0.1761834	0.01184226	15.53915
127	554.9614	551.8586	3.102879	11.24535	0.01176679	-0.05650035	0.01366114	0.9767454	0.8671375	1	0.0179303	58.90707	-0.5813972	0.01365375	21.99039
128	556.4722	551.8202	4.651939	7.966863	0.01400309	-0.04881447	0.01199848	0.9886222	0.8883098	1	0.01833117	49.49957	0.04216183	0.01199692	-7.953768
129	555.4933	550.7549	4.738371	7.664006	0.01427844	-0.01664451	0.01163963	0.9895808	0.8904614	1	0.01823161	48.54501	-0.1211756	0.01163837	9.911358
130	555.4991	551.8451	3.653992	13.28931	0.01080621	-0.03352912	0.01518548	0.9683876	0.8553936	1	0.01811615	64.1434	-0.2509461	0.0151703	6.626634
131	556.1104	552.1003	4.010123	12.81642	0.01100845	-0.04219707	0.01412212	0.9703665	0.858033	1	0.01763308	62.965	-0.1982966	0.01410972	5.069383
132	555.6321	551.592	4.040137	9.65231	0.01271294	-0.04603557	0.01437338	0.9828145	0.8769955	1	0.0191169	54.52298	-0.0005292233	0.01436914	-2.648481
133	556.9483	552.4817	4.466579	9.950899	0.01251877	-0.04246207	0.01279729	0.9817141	0.8750926	1	0.01790008	55.36862	-0.03297253	0.01279301	-0.551927
134	555.6461	551.2062	4.439934	6.722774	0.01524885	-0.02630694	0.01163169	0.9923595	0.897427	1	0.01883454	45.4557	-0.3297575	0.01163101	39.38641
135	554.2765	550.7747	3.5018	12.04297	0.01136374	-0.02523645	0.01269024	0.9735479	0.862447	1	0.01698285	60.99638	0.4964962	0.01268136	-19.22719
136	556.0408	552.1356	3.905196	12.1368	0.01131889	-0.04844542	0.01411997	0.9731659	0.8619048	1	0.01787861	61.23808	0.2105626	0.0141098	-9.441649
137	556.1037	552.2505	3.85318	10.15274	0.01239231	-0.01921195	0.01311906	0.9809598	0.8738215	1	0.01803195	55.93363	0.3546778	0.01311431	-19.28219
138	554.3996	552.3801	2.019469	11.26358	0.01175712	-0.02969841	0.01434537	0.9766734	0.8670287	1	0.01836629	58.95553	-0.7749398	0.01433756	31.17326
139	551.722	547.943	3.77896	9.491479	0.01282123	-0.07433594	0.01496352	0.9833992	0.878032	1	0.0195883	54.06246	0.1037688	0.0149594	-10.62493
140	556.1418	551.7901	4.351617	9.438391	0.01285757	-0.01316649	0.01322583	0.983591	0.878376	1	0.01844191	53.90965	-0.006959914	0.01322227	-0.3852009
141	556.0084	551.7674	4.240979	10.09798	0.01242626	-0.05891463	0.01335968	0.9811653	0.8741652	1	0.01822146	55.78084	0.09963671	0.01335494	-8.318399
142	555.7825	551.9587	3.823811	11.01073	0.01189339	-0.03305772	0.01473351	0.9776677	0.8685463	1	0.01872066	58.28002	0.1624334	0.01472617	-8.591318
143	555.484	551.6119	3.872117	14.43892	0.01035531	-0.04215854	0.01494707	0.9634865	0.8491473	1	0.01759441	66.93642	0.05747223	0.01492715	-2.67113
144	552.0334	550.6912	1.342219	16.95657	0.00952719	-0.0322376	0.01544725	0.9524211	0.8361878	1	0.01715627	72.75463	-0.8433586	0.01541228	16.20456
145	555.8711	551.6948	4.176308	10.70389	0.01206507	-0.05946151	0.01378977	0.9788602	0.87041	1	0.01824141	57.45076	-0.0750577	0.01378361	0.6627065
146	551.4931	547.9198	3.573274	11.88789	0.011439	0.007578722	0.01603361	0.9741767	0.8633475	1	0.01915247	60.59508	0.01812316	0.01602292	-0.3902067
147	552.356	548.9421	3.413928	14.2871	0.01041183	-0.06788688	0.01661378	0.9641403	0.8499592	1	0.01859999	66.57302	-0.06530454	0.01659241	-0.1373169
148	552.1832	549.2696	2.913631	9.057174	0.0131277	-0.003697623	0.01444192	0.9849484	0.8808736	1	0.0194725	52.80034	-0.5775677	0.01443864	37.54924
149	556.3025	552.1914	4.111147	9.886566	0.01255988	-0.01956742	0.0137109	0.9819528	0.8755002	1	0.01855841	55.18742	-0.2055604	0.01370644	10.10035
150	555.2941	550.5907	4.703427	9.364135	0.01290891	-0.05265165	0.01177061	0.9838581	0.8788586	1	0.01743249	53.69524	-0.1062098	0.01176754	3.211738
151	554.3192	551.8273	2.491915	12.98403	0.01093555	-0.01730943	0.01460787	0.9696678	0.8570925	1	0.01787428	63.38478	0.6134862	0.01459443	-20.18278
