Iteration	Replicate_ID	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	theta	V	Yr
135	1	598.1791	594.0601	4.119003	20.36385	0.008650075	-0.02988474	0.01393865	0.9370237	0.8198851	1	0.01552871	80.13192	0.1072669	0.01388337	-2.070561
136	0	598.1243	594.0211	4.103221	17.76714	0.009297118	-0.03406709	0.0133013	0.9487902	0.8321944	1	0.01572665	74.55506	-0.2863205	0.01326641	4.639557
137	1	597.9065	593.6783	4.228208	20.31901	0.008660247	-0.01914678	0.01354116	0.9372281	0.820092	1	0.01531468	80.03781	0.1023786	0.0134878	-1.833606
138	0	597.0406	593.1554	3.885142	16.44478	0.009680689	-0.001911131	0.01285272	0.9546993	0.838751	1	0.01577487	71.60102	0.366736	0.01282635	-7.771036
139	1	596.9072	592.4906	4.41651	12.88828	0.01097702	-0.01806353	0.01170126	0.9700673	0.857629	1	0.01602779	63.14528	-0.3344017	0.01169078	10.23393
140	0	597.677	593.3211	4.355831	17.90327	0.009259939	-0.04962873	0.01310403	0.9481779	0.8315313	1	0.01557835	74.8544	0.07034177	0.01306884	-2.244705
141	1	594.8324	592.4137	2.418687	16.10713	0.009785747	-0.06370019	0.01297742	0.9561953	0.8404609	1	0.01593698	70.83232	0.709998	0.01295251	-16.95244
142	0	597.1973	593.1162	4.081138	17.00854	0.009511972	0.00418314	0.01338773	0.9521891	0.8359294	1	0.01595893	72.87102	0.2191183	0.01335712	-4.276408
143	1	597.6748	593.7695	3.905309	21.461	0.008410581	-0.006614735	0.01423926	0.9320132	0.8148783	1	0.01547646	82.41371	0.2025895	0.01417344	-2.874542
144	0	597.7574	593.8835	3.873875	19.17552	0.008930806	-0.02973275	0.01340154	0.9424287	0.8254327	1	0.01547169	77.61306	0.3245583	0.01335712	-5.829399
145	1	597.1402	593.5818	3.558403	25.36689	0.007679565	-0.01324069	0.01621141	0.9141173	0.7978175	1	0.01577952	90.25865	0.06467135	0.01609184	-0.8425199
146	0	597.842	593.376	4.466022	14.37552	0.01037881	-0.02245752	0.01225269	0.9637598	0.8494859	1	0.01594793	66.78487	-0.2329181	0.01223659	5.574453
147	1	597.4115	593.4616	3.949881	18.09676	0.009207781	-0.01297866	0.01477454	0.9473067	0.8305924	1	0.01649489	75.27841	-0.0035106	0.01473352	-0.1831931
148	0	590.03	588.2314	1.798601	11.10035	0.01184457	-0.05951373	0.01060712	0.9773165	0.8680066	1	0.01585161	58.52023	-0.9660168	0.01060166	38.99709
149	1	597.2649	593.3512	3.913709	21.86295	0.008327084	-0.05652306	0.0148367	0.9301742	0.8130697	1	0.01571919	83.24008	0.03857365	0.01476437	-1.323341
150	0	597.2772	592.6682	4.609035	17.19018	0.009459303	-0.03377648	0.01226342	0.9513774	0.8350288	1	0.01523177	73.27677	-0.08563802	0.01223443	0.9809749
151	1	597.6769	593.131	4.545915	17.2456	0.00944339	-0.02864963	0.01246239	0.9511294	0.8347548	1	0.01534192	73.40025	0.05459527	0.01243262	-1.648778
152	0	596.2745	593.062	3.212445	27.90954	0.007282296	-0.04037963	0.01698159	0.9024886	0.787246	1	0.01572673	95.1825	-0.2510852	0.01682013	1.909744
153	1	598.2258	594.1948	4.031042	19.17684	0.00893048	-0.0230726	0.01436716	0.9424227	0.8254265	1	0.01601909	77.6159	-0.1271905	0.01431954	1.681126
154	0	596.5115	593.0388	3.472694	30.21723	0.006962285	-0.02691877	0.01642428	0.891986	0.777952	1	0.01512286	99.55742	-0.1788534	0.01623266	1.227767
155	1	597.9843	593.7384	4.245911	19.96762	0.008741064	-0.03959523	0.01363261	0.9388289	0.8217199	1	0.01543784	79.29781	-0.09416515	0.0135816	0.7979219
156	0	595.6562	592.0294	3.626814	18.91034	0.008996815	-0.02459796	0.01597425	0.9436308	0.8266897	1	0.0169539	77.04362	0.02629541	0.01592349	-0.8765618
157	1	595.9803	592.342	3.638307	29.01025	0.007125344	-0.01991685	0.01523667	0.8974717	0.7827799	1	0.01473544	97.27911	-0.2765788	0.0150765	2.226748
158	0	596.0876	592.7412	3.34641	20.33512	0.008656589	-0.001824649	0.01324312	0.9371547	0.8200177	1	0.01514201	80.07163	0.498644	0.01319081	-7.464853
