Iteration	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	theta	V	Yr
134	598.2703	593.9372	4.333081	18.72407	0.009043967	-0.03162776	0.01336197	0.944474	0.827577	1	0.0155464	76.64194	-0.04818828	0.01332077	0.2500596
135	595.9129	592.0049	3.907961	27.40804	0.007356632	-0.05023713	0.01483653	0.9047783	0.789302	1	0.01477477	94.22072	-0.1403671	0.01470201	0.8061601
136	593.8994	589.9995	3.899954	25.13061	0.00771925	0.03884089	0.01430165	0.9151999	0.7988195	1	0.01485921	89.79463	-0.1944765	0.01419881	2.556904
137	596.3613	593.3673	2.993937	22.71722	0.008156537	-0.01204779	0.01604733	0.926262	0.8092688	1	0.01617966	84.98057	0.3880576	0.01596008	-5.037983
138	596.3541	591.8944	4.459754	17.28878	0.009431041	0.01167056	0.0127026	0.9509361	0.8345415	1	0.01547894	73.49636	0.03243497	0.01267202	-0.3907768
139	596.8879	592.6087	4.279187	15.98032	0.009826018	-0.03821235	0.01204545	0.9567556	0.841107	1	0.01538563	70.54202	0.3020449	0.01202293	-7.566185
140	597.4823	593.9474	3.534872	19.63959	0.008818332	-0.02953976	0.01488461	0.9403213	0.82325	1	0.01620231	78.60298	0.3020449	0.01483159	-5.254117
141	595.5485	594.0093	1.539131	16.35139	0.009709434	-0.02953976	0.01366539	0.9551136	0.8392224	1	0.01629007	71.38904	0.8346123	0.01363786	-18.41737
142	597.2772	593.2115	4.065689	16.35942	0.009706955	-0.01230224	0.01431613	0.955078	0.8391819	1	0.01667129	71.40727	0.0101265	0.01428724	-0.4891555
143	596.5203	592.8428	3.677518	20.52244	0.008614352	-0.04509763	0.01580026	0.9363004	0.8191548	1	0.01649903	80.46423	0.002270234	0.01573615	-0.7413433
144	596.0877	591.9048	4.182911	17.43741	0.009388871	-0.07361356	0.01368851	0.9502703	0.8338093	1	0.01603245	73.82647	-0.08807088	0.01365466	0.202647
145	597.429	593.4476	3.981381	23.35514	0.008034895	-0.04617494	0.01459229	0.9233384	0.8064669	1	0.01531323	86.26711	0.06200539	0.01450654	-1.349135
