Iteration	Replicate_ID	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	V	Yr
137	1	359.1907	355.624	3.566734	10.43024	0.01222437	-0.02342919	0.01573493	0.9799098	0.8720933	1	0.01961376	56.70206	0.01572858	-1.166197
138	0	356.0515	353.6788	2.372657	18.05869	0.00921798	0.0123471	0.02009142	0.9474782	0.8307768	1	0.0192459	75.19513	0.020036	0.2350852
139	1	357.725	354.4813	3.243779	12.35083	0.01121845	-0.08191216	0.0167288	0.9722904	0.860675	1	0.01937375	61.78636	0.01671595	-2.956095
140	0	359.243	356.0712	3.171768	14.24444	0.01042787	-0.03359396	0.01722063	0.9643237	0.850188	1	0.01895123	66.47062	0.01719871	-0.9416329
141	1	359.1839	355.5921	3.591793	12.62971	0.01109131	-0.04918418	0.01563491	0.9711411	0.8590871	1	0.01862319	62.49462	0.01562189	-1.704299
142	0	359.4789	355.7941	3.684744	10.21506	0.01235402	-0.05330955	0.01526821	0.9807253	0.8734314	1	0.01942286	56.10704	0.01526254	-2.765775
143	1	356.9409	352.7116	4.229291	6.117458	0.01598724	-0.03117783	0.01328927	0.9939658	0.9021623	1	0.02061352	43.35628	0.01328878	-5.166897
144	0	356.7153	352.5701	4.14526	8.798668	0.01332064	-0.07252661	0.01347084	0.9858486	0.8825959	1	0.01894414	52.03559	0.01346814	-5.125046
145	1	357.7404	355.0925	2.647892	20.08624	0.008713559	-0.02947061	0.01923843	0.9382887	0.821169	1	0.01831039	79.54811	0.01916516	-0.4775565
146	0	356.6769	352.3012	4.375728	6.061414	0.01606111	-0.05052164	0.01271854	0.9941067	0.9026122	1	0.02021257	43.15685	0.0127181	-8.572689
147	1	359.4831	355.9175	3.565605	11.17834	0.01180255	-0.02965149	0.01574841	0.9770098	0.8675385	1	0.01928064	58.72857	0.01574009	-1.289743
148	0	357.6635	353.6261	4.037402	6.402346	0.01562675	-0.03453849	0.01399581	0.9932289	0.8999063	1	0.02091454	44.35645	0.01399517	-5.10086
149	1	357.7185	354.8899	2.828635	12.61453	0.01109813	-0.06745214	0.0183823	0.9712039	0.8591732	1	0.02019946	62.45624	0.01836705	-2.342406
150	0	359.6042	356.1215	3.482658	10.42201	0.01222926	-0.03948475	0.01604575	0.9799411	0.8721442	1	0.01981048	56.67942	0.01603929	-1.968439
151	1	357.3532	354.8717	2.481497	20.03591	0.008725202	-0.01294608	0.01983975	0.938518	0.8214026	1	0.01860676	79.44196	0.01976476	-0.2105669
152	0	353.0108	350.9689	2.041935	12.67095	0.01107286	-0.05410045	0.02145248	0.9709704	0.8588537	1	0.02179634	62.59877	0.0214344	-1.863629
153	1	356.4444	354.425	2.019449	20.69615	0.008575665	-0.03654174	0.0216637	0.9355078	0.8183575	1	0.01927593	80.82722	0.0215736	-0.5666071
154	0	356.0712	354.1095	1.96176	20.2298	0.008680578	-0.02245863	0.02187667	0.9376347	0.8205042	1	0.01948857	79.85035	0.02179158	-0.3601143
155	1	356.37	354.3094	2.060617	24.28362	0.007865848	-0.03437879	0.02155882	0.9190819	0.802441	1	0.01841621	88.1211	0.02141766	-0.4248592
156	0	356.1994	354.174	2.025395	24.94126	0.007751425	-0.02832144	0.0217072	0.9160675	0.799625	1	0.01834458	89.4219	0.02155428	-0.3374313
157	1	357.6078	354.9534	2.654367	18.22314	0.009174136	-0.007717764	0.01914212	0.946737	0.8299814	1	0.018741	75.55449	0.01908782	-0.144899
158	0	355.9914	353.8596	2.131753	18.88629	0.009002866	-0.07477474	0.02104088	0.9437397	0.826804	1	0.01946424	76.99184	0.02097428	-1.329085
159	1	354.0261	349.7428	4.283331	12.17021	0.01130305	-0.0255936	0.01311281	0.9730297	0.8617122	1	0.01721712	61.32393	0.01310327	-0.9489544
160	0	358.1069	353.8963	4.210586	7.242037	0.01469024	-0.04871414	0.01333987	0.9908659	0.8935293	1	0.01979727	47.18419	0.01333876	-5.33319
161	1	358.0035	354.9686	3.03493	11.48908	0.0116393	-0.06917545	0.01759423	0.9757782	0.8656884	1	0.02023782	59.55229	0.01758391	-2.85592
162	0	356.2569	352.0207	4.23618	5.382957	0.0170447	-0.03801525	0.01325673	0.9956965	0.9082306	1	0.02125827	40.66643	0.01325649	-8.833667
163	1	355.4928	351.0707	4.422119	5.158684	0.01741164	-0.04699469	0.01255122	0.9961728	0.9101642	1	0.02090633	39.80942	0.01255104	-12.27922
164	0	358.6704	354.622	4.048398	8.292877	0.01372354	-0.03161056	0.01396448	0.9875587	0.8860375	1	0.01957765	50.50788	0.01396232	-2.540769
165	1	358.2765	354.1693	4.107224	7.586372	0.01435164	-0.05639764	0.01369482	0.9898217	0.8910195	1	0.01982641	48.29741	0.0136934	-5.540994
166	0	359.2802	355.9337	3.346488	10.41575	0.01223298	-0.03490151	0.0165518	0.9799649	0.872183	1	0.02012351	56.66217	0.01654516	-1.742022
167	1	358.7919	354.7667	4.025243	9.52755	0.01279671	-0.04927811	0.01402933	0.9832686	0.8777988	1	0.01894884	54.16606	0.0140254	-2.945244
168	0	359.0541	355.2115	3.842559	10.44164	0.01221761	-0.05493049	0.01468417	0.9798663	0.8720227	1	0.01894231	56.73344	0.01467821	-2.728285
169	1	359.0711	355.4204	3.650778	12.52258	0.01113966	-0.03263482	0.01544262	0.9715837	0.8596952	1	0.01854862	62.22335	0.01543015	-1.148455
170	0	359.0626	355.6423	3.420365	12.79461	0.01101804	-0.06066326	0.01622203	0.9704572	0.8581557	1	0.01890688	62.91021	0.01620787	-2.053404
