Iteration	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	theta	V	Yr
134	667.0939	662.3668	4.727094	0.4469488	0.05915872	-0.02202451	0.00495506	1	0.9735591	1	0.02421301	11.71674	-0.5798872	0.00495506	9.100654e+07
135	668.1561	662.3037	5.852386	0.4269818	0.06052614	-0.02323556	0.005835395	1	0.9741564	1	0.02657796	11.45203	-0.04265533	0.005835395	4904750
136	668.6959	662.9239	5.772074	0.754943	0.04551878	-0.01602083	0.005191684	0.9999995	0.9656359	1	0.02174024	15.22772	-0.1891638	0.005191684	360929.3
137	669.6263	663.936	5.690332	0.6691786	0.04834779	-0.0163463	0.005333116	0.9999998	0.9676467	1	0.02270878	14.33669	0.1944063	0.005333116	-1085227
138	668.4193	663.4605	4.958849	0.5844714	0.05173281	-0.01902427	0.005962235	0.9999999	0.9697637	1	0.0248372	13.3986	-0.5225872	0.005962235	7650978
139	662.3133	657.4007	4.912559	0.4285265	0.06041695	-0.03160366	0.006118643	1	0.9741097	1	0.0271908	11.47273	-0.5304347	0.006118643	1.21666e+08
140	667.6242	663.7498	3.87447	0.5121589	0.05526438	-0.02198673	0.005682678	1	0.9716959	1	0.02506191	12.54239	-0.7654247	0.005682678	3.492758e+07
141	668.7589	663.8464	4.912498	0.7194455	0.04662821	-0.02043806	0.005569714	0.9999997	0.9664535	1	0.0227906	14.8654	-0.540417	0.005569714	1545314
142	669.3772	663.9946	5.382595	0.6118012	0.05056412	-0.01618881	0.005301752	0.9999999	0.9690648	1	0.02315506	13.70828	-0.3913226	0.005301752	3922926
143	669.4798	664.3491	5.130678	0.6038813	0.05089462	-0.01877735	0.005391939	0.9999999	0.9692657	1	0.02342736	13.61926	0.4225988	0.005391939	-5129947
144	667.6962	662.9414	4.754807	0.4180791	0.06116717	-0.01854694	0.005251607	1	0.9744273	1	0.02534663	11.33201	0.522002	0.005251607	-1.675706e+08
145	668.203	662.8837	5.319313	0.6174304	0.0503331	-0.02422352	0.005894308	0.9999999	0.9689228	1	0.02435893	13.7712	0.3580329	0.005894308	-3712849
146	669.1113	663.3098	5.801543	0.6898842	0.04761673	-0.01790313	0.006010521	0.9999998	0.96715	1	0.02392494	14.5568	0.09427367	0.006010521	-457259.8
147	667.3899	663.325	4.064917	0.5291502	0.05436985	-0.01541098	0.00517302	1	0.9712302	1	0.02371735	12.74874	0.6737234	0.00517302	-2.432472e+07
148	665.099	659.4846	5.61438	0.3214799	0.06975426	-0.01843151	0.005895358	1	0.9775754	1	0.02867844	9.936987	0.2213782	0.005895358	-1.156933e+09
149	668.398	662.536	5.861983	0.785075	0.0446367	-0.02381978	0.005627376	0.9999994	0.9649568	1	0.02241372	15.52864	-0.08856415	0.005627376	101804.7
150	669.175	663.3733	5.801688	0.4631601	0.05811418	-0.01677285	0.005531397	1	0.9730838	1	0.02535557	11.92733	-0.1549607	0.005531397	1.614391e+07
151	669.8294	663.9902	5.839261	0.542509	0.05369628	-0.02172753	0.005642173	1	0.9708693	1	0.02461559	12.90866	-0.1127147	0.005642173	2589506
152	666.4053	661.0568	5.348462	0.8792676	0.04217811	-0.01403371	0.006331399	0.9999986	0.9629142	1	0.02311045	16.43381	-0.3920033	0.006331399	270841.5
153	667.3162	661.4741	5.842146	0.9572226	0.04042418	-0.01249977	0.005575042	0.9999976	0.9613051	1	0.02123047	17.14685	-0.1236432	0.005575042	45462.85
154	669.4695	663.804	5.66541	0.4899324	0.05650405	-0.02154209	0.005603168	1	0.9723168	1	0.02516353	12.26721	0.2059797	0.005603168	-1.588696e+07
155	667.1846	661.4247	5.759941	0.4857163	0.05674875	-0.02852083	0.005428133	1	0.9724362	1	0.02482095	12.21432	0.1425367	0.005428133	-1.291607e+07
