Iteration	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	V	Yr
89	428.4118	424.9794	3.432426	29.01985	0.007124011	-0.07243173	0.01627975	0.897428	0.7827412	1	0.01523004	97.29732	0.01610847	-0.7061547
90	428.7474	425.2205	3.52693	31.20379	0.006835418	0.01652833	0.01590144	0.8875156	0.7740563	1	0.01474402	101.4052	0.01570024	0.146939
91	424.739	420.963	3.776011	45.54877	0.00544	-0.02190039	0.01546028	0.8242857	0.7213391	1	0.0129695	127.4168	0.01498294	-0.1246363
92	429.381	426.2257	3.155341	36.60424	0.00622546	-0.02190039	0.01759545	0.8633002	0.7534349	1	0.01480133	111.3407	0.01726664	-0.1602079
93	427.8353	424.6557	3.179593	27.64326	0.007321538	-0.04871439	0.01731808	0.9037041	0.788336	1	0.01592451	94.67235	0.01715749	-0.5058822
94	429.0215	424.761	4.260564	18.50995	0.009098997	-0.02963445	0.01323786	0.9454422	0.8286014	1	0.01552104	76.17841	0.01319846	-0.5431751
95	428.5519	424.2888	4.263124	25.63384	0.007635335	-0.01614087	0.01327406	0.9128945	0.7966896	1	0.01423741	90.7815	0.01317335	-0.1853024
96	429.8206	426.0245	3.796141	27.27974	0.007375949	-0.03055797	0.01504529	0.9053644	0.7898302	1	0.01489787	93.97396	0.01491055	-0.3229016
97	428.3113	424.5878	3.723555	35.96191	0.006291505	-0.05388635	0.01541646	0.8661559	0.7558312	1	0.01392787	110.1719	0.01514028	-0.4026054
98	429.6223	426.2528	3.369472	33.72325	0.006534582	-0.02371413	0.01673279	0.8761618	0.7642967	1	0.01478796	106.0737	0.01647618	-0.1914928
99	429.0348	425.3956	3.639228	36.0409	0.0062833	-0.0352344	0.01577359	0.8658044	0.7555358	1	0.01407908	110.3158	0.01548953	-0.2625599
100	428.0123	425.1207	2.891636	34.63827	0.006432696	0.00898809	0.01841307	0.8720622	0.7608145	1	0.01539127	107.7538	0.01811168	0.07025359
101	429.056	424.9504	4.10566	27.69293	0.007314178	-0.03126819	0.01390509	0.9034773	0.7881323	1	0.01426214	94.76761	0.01377555	-0.3239464
102	424.8416	420.3183	4.523376	27.90958	0.00728229	-0.04631804	0.01233044	0.9024884	0.7872458	1	0.01340103	95.18258	0.0122132	-0.4750002
103	429.5751	426.1668	3.408292	35.40478	0.006350075	-0.0226125	0.01661881	0.8686384	0.7579211	1	0.01452795	109.1557	0.01633203	-0.1721393
104	427.7339	424.1044	3.629469	21.55643	0.008390562	-0.05754536	0.01553582	0.9315768	0.8144477	1	0.01614647	82.61034	0.01546309	-0.8410207
105	428.4432	423.9128	4.530436	18.18864	0.009183289	-0.0296418	0.01223141	0.9468925	0.8301481	1	0.0149883	75.47919	0.01219691	-0.5581477
106	427.9502	423.864	4.086176	17.26794	0.009436995	-0.01700594	0.0138534	0.9510294	0.8346444	1	0.01617	73.44999	0.01382017	-0.3472684
107	425.6671	421.5852	4.081894	15.95613	0.009833752	0.007615368	0.01374548	0.9568623	0.8412305	1	0.016442	70.48654	0.0137199	0.1765364
108	429.4599	426.2284	3.231494	37.04236	0.006181289	-0.02085084	0.01731547	0.8613564	0.7518084	1	0.01463092	112.1364	0.01698263	-0.1503917
