Iteration	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	V	Yr
140	588.0051	582.2323	5.772803	6.927413	0.01502127	-0.01009644	0.004465144	0.991783	0.8958739	1	0.01158207	46.14439	0.004464843	-1.228723
141	587.6203	581.8992	5.721084	6.650141	0.01533213	0.0002686762	0.004267351	0.9925602	0.8979839	1	0.01143919	45.20881	0.004267115	0.03611344
142	587.3579	581.6522	5.70577	6.990439	0.01495318	4.271325e-05	0.004197552	0.9916022	0.8954002	1	0.01120417	46.35449	0.004197256	0.005086239
143	587.5318	581.7649	5.766903	5.87951	0.01630811	-0.01220005	0.004426791	0.9945541	0.9040867	1	0.01201604	42.50323	0.00442666	-2.240212
144	584.4997	578.7674	5.732268	5.481539	0.01689056	0.01237867	0.004441001	0.9954792	0.9073933	1	0.01224835	41.03755	0.00444091	2.73816
145	587.9813	582.1649	5.816418	8.307819	0.01371112	-0.005753888	0.004830897	0.9875092	0.8859344	1	0.01150974	50.55364	0.004830143	-0.4606489
146	586.4007	580.7066	5.69406	7.810624	0.01414316	-0.009584731	0.004100343	0.9891204	0.8894147	1	0.01076957	49.00935	0.004099857	-0.8809783
147	586.59	580.7815	5.808497	5.598366	0.01671317	-0.00572007	0.004779675	0.9952155	0.9064106	1	0.0126399	41.4731	0.004779566	-1.195532
148	587.2499	581.4411	5.808811	6.435091	0.01558685	-0.01440199	0.004692164	0.993142	0.8996502	1	0.0120943	44.47	0.004691943	-2.100019
149	588.0226	582.2419	5.780691	7.936924	0.01402962	-0.0032861	0.004559352	0.9887182	0.8885207	1	0.0113107	49.40599	0.004558772	-0.2912752
150	588.0812	582.3037	5.777583	6.85734	0.01509806	-0.003348971	0.004544848	0.9919822	0.8964032	1	0.01171481	45.90969	0.004544555	-0.417693
151	587.187	581.4449	5.74215	5.693906	0.01657217	-0.01450386	0.004291498	0.9949949	0.9056146	1	0.01192639	41.82597	0.004291391	-2.897806
152	586.9723	581.1433	5.828993	7.174103	0.01475988	-0.003261517	0.005071695	0.9910669	0.8940313	1	0.01223582	46.96156	0.00507129	-0.3651064
153	587.9334	582.1627	5.770693	6.43973	0.01558122	-0.00240593	0.004511601	0.9931296	0.899614	1	0.01185717	44.48607	0.004511388	-0.3501891
154	587.933	582.1389	5.794082	8.467739	0.01358023	-0.006127879	0.004626121	0.9869754	0.8848366	1	0.01120926	51.04092	0.004625336	-0.4704866
