Iteration	Replicate_ID	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	V	Yr
114	0	587.6311	581.8594	5.771669	7.134753	0.01480067	0.003243911	0.004568896	0.9911827	0.8943231	1	0.01162951	46.83213	0.00456854	0.3679014
115	1	584.6972	578.8392	5.858077	10.42804	0.01222568	-0.02874391	0.005379433	0.9799181	0.8721069	1	0.01146885	56.69602	0.005377264	-1.431335
116	0	587.6664	581.9641	5.702284	6.087309	0.01602685	-0.004563947	0.004161532	0.9940418	0.9024041	1	0.01154957	43.24911	0.004161385	-0.7659915
117	1	585.8779	580.0367	5.841236	13.58485	0.01068504	-0.004627846	0.005266686	0.9671391	0.8537655	1	0.01060894	64.87081	0.005260999	-0.1408315
118	0	586.6306	581.0006	5.629908	5.097199	0.01751643	-0.007229854	0.003905077	0.9962989	0.9107016	1	0.01169641	39.57126	0.003905023	-1.953436
119	1	583.9805	578.1262	5.854318	16.37996	0.009700618	-0.01536807	0.0054492	0.9549869	0.8390781	1	0.01028208	71.45392	0.005438159	-0.3414134
120	0	586.91	581.2006	5.709456	7.286489	0.0146452	-0.01245014	0.00415058	0.9907334	0.8932021	1	0.01102598	47.32932	0.004150224	-1.343548
121	1	586.8214	580.9729	5.848556	11.02198	0.01188724	-0.0128965	0.005244621	0.9776238	0.8684785	1	0.01116638	58.3102	0.005241995	-0.5763479
122	0	587.8599	582.0406	5.819367	8.708393	0.01339	-0.009061753	0.004818722	0.9861589	0.883203	1	0.01135981	51.76603	0.004817798	-0.6546991
123	1	587.2837	581.5028	5.780895	7.2564	0.01467564	-0.01699889	0.004476143	0.9908231	0.8934235	1	0.01146213	47.23113	0.004475766	-1.852362
124	0	586.9777	581.2051	5.772692	6.332552	0.01571282	0.005066252	0.004603967	0.9934126	0.9004543	1	0.01202841	44.11348	0.004603768	0.7690871
125	1	587.9141	582.1616	5.75249	7.494989	0.01443924	-0.005071446	0.004380709	0.9901028	0.8916801	1	0.01124759	48.0044	0.00438028	-0.5124123
126	0	585.6327	579.7887	5.844004	6.614216	0.01537382	-0.01402353	0.005168392	0.9926587	0.8982604	1	0.01260618	45.08621	0.005168113	-1.910226
127	1	585.6719	579.9242	5.747749	7.483095	0.01445076	-0.02286914	0.004283913	0.9901392	0.8917663	1	0.01112707	47.96613	0.004283496	-2.319192
128	0	587.9541	582.1363	5.817745	8.506613	0.01354896	-0.006395124	0.0048353	0.9868446	0.8845712	1	0.01144668	51.1587	0.004834464	-0.4861223
129	1	587.4385	581.6064	5.832029	10.10534	0.01242168	-0.003139288	0.005091312	0.9811377	0.8741189	1	0.01124657	55.80142	0.0050895	-0.1664317
130	0	586.8811	581.067	5.814058	8.195661	0.01380518	0.00617973	0.005047594	0.9878791	0.8867105	1	0.01180533	50.20922	0.005046852	0.5098411
131	1	588.0363	582.2347	5.801523	8.06151	0.01392021	-0.008172007	0.00466816	0.9883167	0.8876456	1	0.01140016	49.7943	0.004667523	-0.699461
132	0	587.66	581.878	5.782027	8.195661	0.01380518	0.002775618	0.004631228	0.9878791	0.8867105	1	0.01130796	50.20922	0.004630548	0.2289945
133	1	583.5259	577.7239	5.802032	5.926471	0.01624326	0.01161223	0.0050608	0.99444	0.9037039	1	0.01282216	42.67291	0.005060644	2.08853
134	0	587.3021	581.5937	5.708429	5.302479	0.0171737	-0.002928637	0.004200127	0.9958704	0.9089198	1	0.01201097	40.36097	0.004200056	-0.7091798
135	1	585.5931	579.7426	5.850418	10.67016	0.01208437	-0.01793537	0.005626919	0.9789903	0.8706163	1	0.01166171	57.35896	0.005624435	-0.8536697
136	0	586.4479	580.6972	5.750612	7.871389	0.0140882	-0.0183684	0.004307	0.9889275	0.8889837	1	0.01101616	49.20056	0.004306472	-1.658923
137	1	587.2084	581.3928	5.815571	10.18169	0.01237448	0.00266553	0.00495279	0.980851	0.8736402	1	0.01107142	56.01423	0.004950973	0.1391993
138	0	585.7673	580.0004	5.766923	7.819739	0.01413488	-0.0233102	0.004375861	0.9890915	0.88935	1	0.01112225	49.03808	0.00437534	-2.136885
139	1	587.9611	582.1729	5.788186	7.196421	0.0147369	-0.01114702	0.004553519	0.9910011	0.8938661	1	0.01158488	47.03481	0.00455315	-1.238704
140	0	587.9114	582.1219	5.789538	6.53793	0.01546348	-0.009427548	0.004579468	0.9928661	0.89885	1	0.0119008	44.82479	0.004579235	-1.321518
141	1	586.9022	581.0678	5.834462	8.553094	0.01351185	-0.001550049	0.00527173	0.9866876	0.8842547	1	0.01193573	51.2992	0.005270796	-0.1164369
142	0	587.9041	582.1186	5.785503	8.305407	0.01371313	-0.00174398	0.004605803	0.9875172	0.8859511	1	0.01123921	50.54625	0.004605085	-0.1397102
143	1	586.0086	580.3995	5.609089	5.240023	0.01727584	0.0007108457	0.003873953	0.996003	0.9094582	1	0.01156943	40.12233	0.003873891	0.1778469
144	0	585.4079	579.6898	5.718042	5.865093	0.01632817	-0.02271362	0.004163906	0.9945889	0.9042045	1	0.01166096	42.45101	0.004163784	-4.197581
145	1	585.3728	579.6501	5.722638	4.468747	0.01870841	-0.01701388	0.004205768	0.9974715	0.9163905	1	0.01254458	37.05004	0.004205742	-6.728927
146	0	587.2745	581.6059	5.668573	5.847595	0.01635262	-0.006399566	0.004029183	0.994631	0.9043477	1	0.01147935	42.38753	0.004029066	-1.191948
147	1	588.0315	582.2347	5.79675	8.214771	0.01378902	-0.006359731	0.004645875	0.9878163	0.8865779	1	0.01131919	50.26806	0.004645185	-0.5219883
148	0	587.0931	581.2478	5.845342	9.730123	0.01266149	-0.009693507	0.005276237	0.9825296	0.8764969	1	0.01155898	54.74451	0.005274627	-0.5548523
149	1	586.8896	581.1991	5.69051	4.824504	0.01800504	-0.007115663	0.004111247	0.9968341	0.9131246	1	0.01216743	38.4974	0.004111206	-2.24758
150	0	587.0395	581.2301	5.80948	7.807028	0.01414644	-0.01902255	0.004659427	0.9891317	0.8894403	1	0.01148166	48.99801	0.004658876	-1.750284
151	1	581.993	576.1795	5.813534	7.363571	0.01456805	0.001967025	0.005895283	0.990502	0.8926369	1	0.01310593	47.57997	0.005894751	0.2070992
152	0	586.9185	581.1575	5.761023	5.045219	0.01760651	-0.006422381	0.004435152	0.996404	0.9111584	1	0.012497	39.3688	0.004435095	-1.785956
153	1	587.2537	581.4315	5.822181	9.911824	0.01254369	0.002798153	0.005070887	0.9818592	0.87534	1	0.01127898	55.25862	0.005069218	0.1542463
154	0	587.4016	581.6247	5.776915	5.968479	0.0161859	-0.0004356639	0.004575118	0.9943371	0.9033627	1	0.01216983	42.82414	0.004574972	-0.0769332
155	1	587.4539	581.6164	5.837495	9.161892	0.01305185	-0.005981047	0.005151325	0.984579	0.8801826	1	0.01159606	53.1072	0.0051501	-0.38785
